SEQID,ID,FCID,School,Date of collection,Bioactive (0/1),Enterococcus mundtii DSM 4838,Enterobacter mori DSM 26271,Staphylococcus epidermidis AU 24,Escherichia coli DSM 498,Pseudomonas putida DSM 6125,Actinetobacter baylyi DSM 14961,Enterococcus faecium DSM 20477,Staphylococcus aureus DSM 20231,Klebsiella oxytoca DSM 5175,Actinetobacter baumannii DSM 300007,Pseudomonas aeruginosa DSM 19880,Enterobacter cloacae DSM 30054
PAQ87969.barcode19,MIDD2022-Gr14-R2A-16,PAQ87969,Middelfart Gymnasium,2022-09-20T00:00:00Z,1,000,111,111,111,000,111,000,000,111,000,000,111
PAQ87969.barcode20,SILK2023-Gr2-R2A-11,PAQ87969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,000,100,100,000,000,111,000,000,000,000,000
PAQ87969.barcode21,VIBO2023-Gr12-R2A-15,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,000,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode22,VHG2023-Gr11-R2A-17,PAQ87969,Vesthimmerlands Gymnasium,2023-03-15T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode23,HJØRSTx2023-Gr4-R2A-2,PAQ87969,Hjørring STX,2023-03-21T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode24,MARSBioA2022-Gr1-R2A-1,PAQ87969,"Marselisborg Gymnasium, 3g",2022-10-03T00:00:00Z,1,111,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode25,VHG2023-Gr8-R2A-20,PAQ87969,Vesthimmerlands Gymnasium,2023-03-15T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode26,HJØRSTX2023-Gr1-R2A-4,PAQ87969,Hjørring STX,2023-03-21T00:00:00Z,1,111,000,111,000,100,000,000,000,000,000,000,000
PAQ87969.barcode27,MARS2023-Gr14-R2A-9,PAQ87969,Marselisborg gym,2023-09-21T00:00:00Z,1,111,000,111,111,110,110,000,000,111,111,000,000
PAQ87969.barcode28,MARS2023-Gr13-10%NB-1,PAQ87969,Marselisborg Gym,2023-09-20T00:00:00Z,1,111,000,111,000,000,111,111,000,000,000,000,000
PAQ87969.barcode29,GLHE2023-Gr8-10%NB-18,PAQ87969,Gammel Hellerup Gymnasium,2023-09-13T00:00:00Z,1,000,000,111,111,111,111,000,000,111,111,111,111
PAQ87969.barcode30,PAD2021-Gr6-10%NB-5,PAQ87969,Paderup Gymnasium,2021-04-13T00:00:00Z,1,000,000,000,000,000,100,100,100,000,000,000,000
PAQ87969.barcode31,HJO2021-Gr2-10%NB-13,PAQ87969,Hjørring Gymnasium,2021-03-16T00:00:00Z,1,111,111,111,111,111,111,111,111,111,111,111,000
PAQ87969.barcode32,SILK2023-Gr13-10%NB-17,PAQ87969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,000,000,000,000,000,111,000,000,000,000,000
PAQ87969.barcode33,VIBO2023-Gr3-10%NB-10,PAQ87969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAQ87969.barcode34,CELF2021-Gr3-10%NB-13,PAQ87969,CELF (Lolland-Falster),2021-09-14T00:00:00Z,1,000,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode35,MAR2020-JAR-10%NB-8,PAQ87969,Marselisborg Gymnasium,2020-10-19T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode36,HJO2021-Gr2-10%NB-14,PAQ87969,Hjørring Gymnasium,2021-03-16T00:00:00Z,1,111,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode37,MAR2020-CLARA-10%NB-10,PAQ87969,Marselisborg Gymnasium,2020-10-19T00:00:00Z,1,111,000,111,000,000,000,000,111,000,000,000,000
PAQ87969.barcode38,MAR2020-CLARA-10%NB-15,PAQ87969,Marselisborg Gymnasium,2020-10-19T00:00:00Z,1,111,000,000,000,000,000,111,000,000,000,000,000
PAQ87969.barcode39,VIBO2023-Gr12-AC-7,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,111,000,111,110,000,000,111,111,000,111,111,000
PAQ87969.barcode40,SILK2023-Gr1-AC-1,PAQ87969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,000,000,111,000,000,000,000,110,000,110,000,000
PAQ87969.barcode41,SILK2023-Gr17-AC-16,PAQ87969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,111,000,000,100,000,000,111,000,000,000,111,000
PAQ87969.barcode42,MIDD2022-Gr3-AC-17,PAQ87969,Middelfart Gymnasium,2022-09-20T00:00:00Z,1,111,110,110,110,000,100,111,111,100,111,111,000
PAQ87969.barcode43,PAD2021-Gr5-AC-7,PAQ87969,Paderup Gymnasium,2021-04-13T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode44,SILK2023-Gr17-AC-17,PAQ87969,Silkeborg Gymnasium,2023-09-06T00:00:00Z,1,110,000,000,000,000,100,000,000,000,000,000,000
PAQ87969.barcode45,VIBO2023-Gr3-AC-5,PAQ87969,Viborg Gymnasium,2023-08-17T00:00:00Z,1,100,110,111,000,000,000,000,000,000,110,111,000
PAQ87969.barcode46,MARS2023-Gr3-AC-6,PAQ87969,Marselisborg Gymnasium,2023-01-19T00:00:00Z,1,000,000,111,111,000,000,000,111,000,000,000,000
PAQ87969.barcode47,MARS2023-Gr4-AC-9,PAQ87969,Marselisborg Gymnasium,2023-01-19T00:00:00Z,1,111,000,111,000,000,111,111,110,000,000,000,000
PAQ87969.barcode48,HJØR2023-Gr1-AC-1,PAQ87969,Hjørring HTX,2023-03-14T00:00:00Z,1,000,000,111,000,000,111,000,000,000,111,000,000
PAQ87969.barcode49,STG2023-Gr2-AC-14,PAQ87969,Støvring Gymnasium,2023-01-11T00:00:00Z,1,000,111,111,111,110,111,111,110,111,111,111,111
PAQ87969.barcode50,HJØR2023-Gr1-AC-5,PAQ87969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,100,110,000,000,000,111,110,000,000,000,000
PAQ87969.barcode51,HJØR2023-Gr3-AC-19,PAQ87969,Hjørring HTX,2023-03-14T00:00:00Z,1,000,000,000,000,000,111,000,000,000,000,110,000
PAQ87969.barcode52,MARS2023-Gr1-AC-4,PAQ87969,Marselisborg Gymnasium,2023-01-19T00:00:00Z,0,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode53,HJØR2023-Gr2-AC-17,PAQ87969,Hjørring HTX,2023-03-14T00:00:00Z,1,111,000,111,000,111,111,111,000,111,111,000,000
PAQ87969.barcode54,MARS2023-Gr4-AC-3,PAQ87969,Marselisborg Gymnasium,2023-01-19T00:00:00Z,1,111,000,111,000,000,111,110,111,000,000,000,000
PAQ87969.barcode55,STG2023-Gr2-AC-2,PAQ87969,Støvring Gymnasium,2023-01-11T00:00:00Z,1,000,111,000,111,111,111,000,000,111,111,111,111
PAQ87969.barcode56,STG2023-Gr2-AC-16,PAQ87969,Støvring Gymnasium,2023-01-11T00:00:00Z,1,000,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode57,STG2023-Gr2-AC-15,PAQ87969,Støvring Gymnasium,2023-01-11T00:00:00Z,1,100,000,111,000,000,000,110,000,000,000,000,000
