SEQID,ID,Enterococcus mundtii DSM 4838,Enterobacter mori DSM 26271,Staphylococcus epidermidis AU 24,Escherichia coli DSM 498,Pseudomonas putida DSM 6125,Actinetobacter baylyi DSM 14961,Enterococcus faecium DSM 20477,Staphylococcus aureus DSM 20231,Klebsiella oxytoca DSM 5175,Actinetobacter baumannii DSM 300007,Pseudomonas aeruginosa DSM 19880,Enterobacter cloacae DSM 30054
PAQ87969.barcode23,HJØRSTx2023-Gr4-R2A-2,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode43,PAD2021-Gr5-AC-7,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode52,MARS2023-Gr1-AC-4,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode68,MAR2020-JAR-AC-4,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode77,AKAT2023-Gr3-BHI-1,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode81,PAD2021-Gr5-ISP2-17,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode82,PAD2021-Gr6-ISP2-18,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode94,VIBY2021-Gr5-ISP2-19,000,000,000,000,000,000,000,000,000,000,000,000
PAQ87969.barcode19,MIDD2022-Gr14-R2A-16,000,111,111,111,000,111,000,000,111,000,000,111
PAQ87969.barcode21,VIBO2023-Gr12-R2A-15,000,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode29,GLHE2023-Gr8-10%NB-18,000,000,111,111,111,111,000,000,111,111,111,111
PAQ87969.barcode30,PAD2021-Gr6-10%NB-5,000,000,000,000,000,100,100,100,000,000,000,000
PAQ87969.barcode34,CELF2021-Gr3-10%NB-13,000,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode40,SILK2023-Gr1-AC-1,000,000,111,000,000,000,000,110,000,110,000,000
PAQ87969.barcode46,MARS2023-Gr3-AC-6,000,000,111,111,000,000,000,111,000,000,000,000
PAQ87969.barcode48,HJØR2023-Gr1-AC-1,000,000,111,000,000,111,000,000,000,111,000,000
PAQ87969.barcode49,STG2023-Gr2-AC-14,000,111,111,111,110,111,111,110,111,111,111,111
PAQ87969.barcode51,HJØR2023-Gr3-AC-19,000,000,000,000,000,111,000,000,000,000,011,000
PAQ87969.barcode55,STG2023-Gr2-AC-2,000,111,000,111,111,111,000,000,111,111,111,111
PAQ87969.barcode56,STG2023-Gr2-AC-16,000,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode59,STG2023-Gr2-AC-4,000,111,111,000,000,111,111,111,111,000,000,000
PAQ87969.barcode62,MARS2023-Gr3-AC-5,000,100,011,000,000,110,100,000,000,111,111,000
PAQ87969.barcode65,VIBO2023-Gr6-AC-16,000,000,111,000,000,000,000,000,000,000,000,000
PAQ87969.barcode69,VIBO2023-Gr11-AC-7,000,000,111,000,000,000,111,111,000,000,000,000
PAQ87969.barcode74,AAST2022-Gr1-BHI-8,000,000,000,000,000,111,000,000,000,000,000,000
PAQ87969.barcode79,PAD2021-Gr5-ISP2-19,000,000,000,111,000,000,000,000,000,000,000,000
