SEQID	simplified_cluster_type	Number_mibig_type
PAQ87969.barcode04	BGC not in MiBiG database	4
PAQ87969.barcode04	NRP	3
PAQ87969.barcode04	Other	2
PAQ87969.barcode04	Terpene+Other	1
PAQ87969.barcode05	RiPP	1
PAQ87969.barcode06	BGC not in MiBiG database	8
PAQ87969.barcode06	NRP	2
PAQ87969.barcode06	NRP+Saccharide	1
PAQ87969.barcode06	Other	19
PAQ87969.barcode06	RiPP	2
PAQ87969.barcode06	Saccharide	3
PAQ87969.barcode06	Terpene	1
PAQ87969.barcode07	BGC not in MiBiG database	5
PAQ87969.barcode07	NRP	3
PAQ87969.barcode07	Other	1
PAQ87969.barcode07	Terpene+Other	1
PAQ87969.barcode09	BGC not in MiBiG database	7
PAQ87969.barcode09	NRP	6
PAQ87969.barcode09	Other	2
PAQ87969.barcode09	Terpene+Other	1
PAQ87969.barcode10	BGC not in MiBiG database	2
PAQ87969.barcode11	BGC not in MiBiG database	7
PAQ87969.barcode11	NRP	7
PAQ87969.barcode11	NRP+Saccharide	1
PAQ87969.barcode11	Other	13
PAQ87969.barcode11	RiPP	1
PAQ87969.barcode11	Saccharide	3
PAQ87969.barcode11	Terpene	2
PAQ87969.barcode12	BGC not in MiBiG database	4
PAQ87969.barcode12	NRP	3
PAQ87969.barcode12	Other	2
PAQ87969.barcode12	Terpene+Other	1
PAQ87969.barcode13	BGC not in MiBiG database	4
PAQ87969.barcode13	NRP	3
PAQ87969.barcode13	Other	2
PAQ87969.barcode13	Terpene+Other	1
PAQ87969.barcode14	BGC not in MiBiG database	4
PAQ87969.barcode14	NRP	2
PAQ87969.barcode14	Terpene+Other	1
PAQ87969.barcode15	BGC not in MiBiG database	1
PAQ87969.barcode15	NRP	1
PAQ87969.barcode15	Other	3
PAQ87969.barcode15	Saccharide	1
PAQ87969.barcode16	BGC not in MiBiG database	1
PAQ87969.barcode16	NRP	1
PAQ87969.barcode16	Other	2
PAQ87969.barcode16	Saccharide	2
PAQ87969.barcode17	BGC not in MiBiG database	2
PAQ87969.barcode17	NRP	1
PAQ87969.barcode17	Other	1
PAQ87969.barcode17	Saccharide	1
PAQ87969.barcode17	Terpene	1
PAQ87969.barcode19	BGC not in MiBiG database	3
PAQ87969.barcode19	NRP	5
PAQ87969.barcode19	NRP+Other	1
PAQ87969.barcode19	Other	10
PAQ87969.barcode19	RiPP	2
PAQ87969.barcode19	Saccharide	3
PAQ87969.barcode19	Terpene	4
PAQ87969.barcode20	BGC not in MiBiG database	4
PAQ87969.barcode20	NRP	9
PAQ87969.barcode20	Other	16
PAQ87969.barcode20	RiPP	3
PAQ87969.barcode20	Saccharide	1
PAQ87969.barcode20	Terpene	2
PAQ87969.barcode22	BGC not in MiBiG database	3
PAQ87969.barcode22	NRP	11
PAQ87969.barcode22	Other	10
PAQ87969.barcode22	RiPP	4
PAQ87969.barcode22	Saccharide	2
PAQ87969.barcode22	Terpene	2
PAQ87969.barcode23	BGC not in MiBiG database	5
PAQ87969.barcode23	NRP	1
PAQ87969.barcode24	BGC not in MiBiG database	1
PAQ87969.barcode24	NRP	8
PAQ87969.barcode24	Other	11
PAQ87969.barcode24	Saccharide	2
PAQ87969.barcode24	Terpene	1
PAQ87969.barcode24	Terpene+Saccharide	1
PAQ87969.barcode25	BGC not in MiBiG database	10
PAQ87969.barcode25	NRP	9
PAQ87969.barcode25	NRP+Other	1
PAQ87969.barcode25	NRP+RiPP	1
PAQ87969.barcode25	NRP+Saccharide	1
PAQ87969.barcode25	Other	12
PAQ87969.barcode25	RiPP	6
PAQ87969.barcode25	Saccharide	4
PAQ87969.barcode25	Terpene	1
PAQ87969.barcode26	BGC not in MiBiG database	7
PAQ87969.barcode26	NRP	4
PAQ87969.barcode26	Other	2
PAQ87969.barcode27	BGC not in MiBiG database	4
PAQ87969.barcode27	NRP	6
PAQ87969.barcode28	BGC not in MiBiG database	6
PAQ87969.barcode28	NRP	2
PAQ87969.barcode28	Other	1
PAQ87969.barcode28	RiPP	1
PAQ87969.barcode28	Terpene+Other	1
PAQ87969.barcode31	BGC not in MiBiG database	5
PAQ87969.barcode31	NRP	3
PAQ87969.barcode31	NRP+Other	1
PAQ87969.barcode31	Other	11
PAQ87969.barcode31	RiPP	1
PAQ87969.barcode31	Saccharide	2
PAQ87969.barcode31	Terpene	5
PAQ87969.barcode32	BGC not in MiBiG database	4
PAQ87969.barcode32	Other	1
PAQ87969.barcode32	Saccharide	1
PAQ87969.barcode32	Terpene	1
PAQ87969.barcode33	BGC not in MiBiG database	3
PAQ87969.barcode33	NRP	1
PAQ87969.barcode33	Other	1
PAQ87969.barcode33	RiPP	1
PAQ87969.barcode33	Terpene	2
PAQ87969.barcode35	BGC not in MiBiG database	2
PAQ87969.barcode35	NRP	6
PAQ87969.barcode35	Other	16
PAQ87969.barcode35	RiPP	4
PAQ87969.barcode35	Saccharide	2
PAQ87969.barcode35	Terpene	2
PAQ87969.barcode36	BGC not in MiBiG database	4
PAQ87969.barcode36	NRP	5
PAQ87969.barcode36	NRP+Saccharide	1
PAQ87969.barcode36	Other	15
PAQ87969.barcode36	RiPP	3
PAQ87969.barcode36	Saccharide	2
PAQ87969.barcode36	Saccharide+Other	1
PAQ87969.barcode36	Terpene	3
PAQ87969.barcode37	BGC not in MiBiG database	7
PAQ87969.barcode37	NRP	13
PAQ87969.barcode37	NRP+Saccharide	1
PAQ87969.barcode37	Other	10
PAQ87969.barcode37	RiPP	4
PAQ87969.barcode37	Saccharide	2
PAQ87969.barcode37	Terpene	1
PAQ87969.barcode38	BGC not in MiBiG database	3
PAQ87969.barcode38	NRP	12
PAQ87969.barcode38	NRP+Saccharide	1
PAQ87969.barcode38	Other	12
PAQ87969.barcode38	RiPP	3
PAQ87969.barcode38	Saccharide	1
PAQ87969.barcode38	Terpene	3
PAQ87969.barcode39	BGC not in MiBiG database	9
PAQ87969.barcode39	NRP	13
PAQ87969.barcode39	Other	15
PAQ87969.barcode39	RiPP	2
PAQ87969.barcode39	Saccharide	2
PAQ87969.barcode39	Terpene	2
PAQ87969.barcode40	BGC not in MiBiG database	5
PAQ87969.barcode40	NRP	9
PAQ87969.barcode40	NRP+Other	2
PAQ87969.barcode40	NRP+Saccharide	1
PAQ87969.barcode40	Other	19
PAQ87969.barcode40	RiPP	3
PAQ87969.barcode40	Saccharide	2
PAQ87969.barcode40	Terpene	4
PAQ87969.barcode41	BGC not in MiBiG database	6
PAQ87969.barcode41	NRP	10
PAQ87969.barcode41	NRP+Other	2
PAQ87969.barcode41	NRP+Saccharide	1
PAQ87969.barcode41	Other	20
PAQ87969.barcode41	RiPP	4
PAQ87969.barcode41	Saccharide	2
PAQ87969.barcode41	Terpene	3
PAQ87969.barcode42	BGC not in MiBiG database	3
PAQ87969.barcode42	Other	1
PAQ87969.barcode42	RiPP	1
PAQ87969.barcode42	Terpene	1
PAQ87969.barcode43	BGC not in MiBiG database	6
PAQ87969.barcode43	NRP	10
PAQ87969.barcode43	NRP+RiPP	1
PAQ87969.barcode43	Other	6
PAQ87969.barcode43	RiPP	1
PAQ87969.barcode43	Saccharide	2
PAQ87969.barcode43	Terpene	3
PAQ87969.barcode44	BGC not in MiBiG database	10
PAQ87969.barcode44	NRP	16
PAQ87969.barcode44	NRP+Saccharide	1
PAQ87969.barcode44	Other	11
PAQ87969.barcode44	RiPP	4
PAQ87969.barcode44	Saccharide	2
PAQ87969.barcode44	Terpene	2
PAQ87969.barcode45	BGC not in MiBiG database	4
PAQ87969.barcode45	NRP	8
PAQ87969.barcode45	Other	10
PAQ87969.barcode45	RiPP	1
PAQ87969.barcode45	Saccharide	2
PAQ87969.barcode45	Terpene	2
PAQ87969.barcode46	BGC not in MiBiG database	1
PAQ87969.barcode46	NRP	2
PAQ87969.barcode46	Other	1
PAQ87969.barcode46	Saccharide	1
PAQ87969.barcode47	BGC not in MiBiG database	6
PAQ87969.barcode47	NRP	6
PAQ87969.barcode47	Other	1
PAQ87969.barcode47	Saccharide	1
PAQ87969.barcode47	Terpene+Other	1
PAQ87969.barcode48	BGC not in MiBiG database	8
PAQ87969.barcode48	NRP	7
PAQ87969.barcode48	Other	3
PAQ87969.barcode49	BGC not in MiBiG database	8
PAQ87969.barcode49	NRP	4
PAQ87969.barcode49	Other	1
PAQ87969.barcode50	BGC not in MiBiG database	4
PAQ87969.barcode50	NRP	3
PAQ87969.barcode50	Other	2
PAQ87969.barcode50	Terpene+Other	1
PAQ87969.barcode51	BGC not in MiBiG database	9
PAQ87969.barcode51	NRP	3
PAQ87969.barcode51	Other	3
PAQ87969.barcode53	BGC not in MiBiG database	5
PAQ87969.barcode53	NRP	5
PAQ87969.barcode53	Other	2
PAQ87969.barcode53	Terpene+Other	1
PAQ87969.barcode54	BGC not in MiBiG database	6
PAQ87969.barcode54	NRP	5
PAQ87969.barcode54	Other	1
PAQ87969.barcode54	Saccharide	1
PAQ87969.barcode54	Terpene+Other	1
PAQ87969.barcode55	BGC not in MiBiG database	3
PAQ87969.barcode55	NRP+Other	1
PAQ87969.barcode56	BGC not in MiBiG database	3
PAQ87969.barcode56	Terpene+Other	1
PAQ87969.barcode57	BGC not in MiBiG database	7
PAQ87969.barcode57	NRP	5
PAQ87969.barcode57	Other	1
PAQ87969.barcode57	Terpene+Other	1
PAQ87969.barcode58	BGC not in MiBiG database	2
PAQ87969.barcode58	NRP	1
PAQ87969.barcode58	Terpene+Other	1
PAQ87969.barcode59	BGC not in MiBiG database	8
PAQ87969.barcode59	NRP	4
PAQ87969.barcode59	Other	1
PAQ87969.barcode60	BGC not in MiBiG database	5
PAQ87969.barcode60	NRP	2
PAQ87969.barcode60	Other	2
PAQ87969.barcode60	Terpene+Other	1
PAQ87969.barcode61	BGC not in MiBiG database	4
PAQ87969.barcode61	NRP	3
PAQ87969.barcode61	Other	2
PAQ87969.barcode61	Terpene+Other	1
PAQ87969.barcode62	BGC not in MiBiG database	5
PAQ87969.barcode62	NRP	9
PAQ87969.barcode62	Other	4
PAQ87969.barcode63	BGC not in MiBiG database	7
PAQ87969.barcode63	NRP	6
PAQ87969.barcode63	Other	20
PAQ87969.barcode63	RiPP	6
PAQ87969.barcode63	Terpene	2
PAQ87969.barcode65	BGC not in MiBiG database	2
PAQ87969.barcode65	NRP	3
PAQ87969.barcode65	NRP+Other	1
PAQ87969.barcode65	Other	1
PAQ87969.barcode66	BGC not in MiBiG database	2
PAQ87969.barcode66	Other	2
PAQ87969.barcode66	RiPP	2
PAQ87969.barcode67	BGC not in MiBiG database	1
PAQ87969.barcode67	Other	2
PAQ87969.barcode67	RiPP	1
PAQ87969.barcode67	Saccharide	1
PAQ87969.barcode67	Terpene	1
PAQ87969.barcode70	BGC not in MiBiG database	2
PAQ87969.barcode70	NRP	11
PAQ87969.barcode70	NRP+Other	1
PAQ87969.barcode70	NRP+Saccharide	1
PAQ87969.barcode70	Other	8
PAQ87969.barcode70	RiPP	5
PAQ87969.barcode70	Saccharide	2
PAQ87969.barcode70	Terpene	2
PAQ87969.barcode72	BGC not in MiBiG database	1
PAQ87969.barcode72	NRP	3
PAQ87969.barcode72	Other	2
PAQ87969.barcode72	Saccharide	1
PAQ87969.barcode72	Terpene	1
PAQ87969.barcode73	BGC not in MiBiG database	3
PAQ87969.barcode73	NRP	2
PAQ87969.barcode73	Other	2
PAQ87969.barcode73	Terpene	1
PAQ87969.barcode75	BGC not in MiBiG database	4
PAQ87969.barcode75	NRP	2
PAQ87969.barcode75	Other	4
PAQ87969.barcode75	RiPP	1
PAQ87969.barcode75	Terpene	1
PAQ87969.barcode76	BGC not in MiBiG database	4
PAQ87969.barcode76	Other	1
PAQ87969.barcode77	BGC not in MiBiG database	4
PAQ87969.barcode77	NRP	3
PAQ87969.barcode77	Other	1
PAQ87969.barcode77	Terpene+Other	1
PAQ87969.barcode79	NRP	3
PAQ87969.barcode79	Other	13
PAQ87969.barcode79	RiPP	1
PAQ87969.barcode79	Saccharide	3
PAQ87969.barcode79	Terpene	3
PAQ87969.barcode80	BGC not in MiBiG database	1
PAQ87969.barcode80	NRP	2
PAQ87969.barcode80	Other	2
PAQ87969.barcode82	BGC not in MiBiG database	1
PAQ87969.barcode82	NRP	1
PAQ87969.barcode82	Other	2
PAQ87969.barcode83	BGC not in MiBiG database	7
PAQ87969.barcode83	NRP	7
PAQ87969.barcode83	Other	10
PAQ87969.barcode83	RiPP	1
PAQ87969.barcode83	Saccharide	2
PAQ87969.barcode83	Terpene	2
PAQ87969.barcode84	BGC not in MiBiG database	11
PAQ87969.barcode84	NRP	8
PAQ87969.barcode84	Other	10
PAQ87969.barcode84	RiPP	1
PAQ87969.barcode84	Saccharide	4
PAQ87969.barcode84	Terpene	3
PAQ87969.barcode85	BGC not in MiBiG database	3
PAQ87969.barcode85	NRP	3
PAQ87969.barcode85	Other	6
PAQ87969.barcode85	RiPP	2
PAQ87969.barcode85	Saccharide	3
PAQ87969.barcode85	Terpene	1
PAQ87969.barcode86	BGC not in MiBiG database	3
PAQ87969.barcode86	NRP	3
PAQ87969.barcode86	NRP+Other	1
PAQ87969.barcode86	NRP+RiPP	1
PAQ87969.barcode86	Other	12
PAQ87969.barcode86	RiPP	1
PAQ87969.barcode86	Saccharide	3
PAQ87969.barcode86	Terpene	2
PAQ87969.barcode87	BGC not in MiBiG database	7
PAQ87969.barcode87	NRP	2
PAQ87969.barcode87	NRP+Other	1
PAQ87969.barcode87	Other	20
PAQ87969.barcode87	RiPP	3
PAQ87969.barcode87	Saccharide	1
PAQ87969.barcode87	Terpene	2
PAQ87969.barcode88	BGC not in MiBiG database	6
PAQ87969.barcode88	NRP	3
PAQ87969.barcode88	Other	3
PAQ87969.barcode89	BGC not in MiBiG database	4
PAQ87969.barcode89	NRP	3
PAQ87969.barcode89	Other	13
PAQ87969.barcode89	RiPP	2
PAQ87969.barcode89	Saccharide	3
PAQ87969.barcode89	Terpene	4
PAQ87969.barcode90	BGC not in MiBiG database	11
PAQ87969.barcode90	NRP	11
PAQ87969.barcode90	NRP+Other	1
PAQ87969.barcode90	NRP+Saccharide	2
PAQ87969.barcode90	Other	13
PAQ87969.barcode90	Terpene	3
PAQ87969.barcode90	Terpene+Saccharide	1
PAQ87969.barcode91	BGC not in MiBiG database	10
PAQ87969.barcode91	NRP	7
PAQ87969.barcode91	NRP+Other	1
PAQ87969.barcode91	Other	14
PAQ87969.barcode91	RiPP	3
PAQ87969.barcode91	Saccharide	1
PAQ87969.barcode91	Terpene	3
PAQ87969.barcode92	BGC not in MiBiG database	9
PAQ87969.barcode92	NRP	8
PAQ87969.barcode92	NRP+Other	1
PAQ87969.barcode92	NRP+Saccharide	1
PAQ87969.barcode92	Other	8
PAQ87969.barcode92	RiPP	1
PAQ87969.barcode92	Saccharide	2
PAQ87969.barcode92	Terpene	3
PAQ87969.barcode93	NRP	1
PAQ87969.barcode93	Other	3
PAQ87969.barcode93	Terpene	1
PAQ87969.barcode95	NRP	2
PAQ87969.barcode95	Other	3
PAQ87969.barcode95	Terpene	1
PAQ87969.barcode96	BGC not in MiBiG database	1
PAQ87969.barcode96	NRP	1
PAQ87969.barcode96	Other	4
PAQ87969.barcode96	Terpene	1
PAQ88969.barcode01	BGC not in MiBiG database	1
PAQ88969.barcode01	NRP	1
PAQ88969.barcode01	Other	3
PAQ88969.barcode01	Saccharide	1
PAQ88969.barcode02	BGC not in MiBiG database	5
PAQ88969.barcode02	NRP	3
PAQ88969.barcode02	Other	6
PAQ88969.barcode02	RiPP	1
PAQ88969.barcode02	Saccharide	2
PAQ88969.barcode08	BGC not in MiBiG database	8
PAQ88969.barcode08	Other	1
PAQ88969.barcode08	Terpene+Other	1
