sample	reads	total_bp	mean_length	status
PAW76169.barcode55	37939	300001513	7907.47	PASS
PBK85545.barcode74	76316	300000290	3931.03	PASS
PAQ88969.barcode41	150000	203815354	1358.77	PASS
PBI66098.barcode57	40543	300000462	7399.56	PASS
PBK85545.barcode22	81371	6231781	76.58	FAIL
PAQ87969.barcode61	319679	300000062	938.44	PASS
PAW76169.barcode90	38014	300002212	7891.89	PASS
PAW76169.barcode28	86748	300001177	3458.31	PASS
PBI66098.barcode11	153380	83218015	542.56	PASS
PBI66098.barcode72	49703	300002422	6035.90	PASS
PBI66098.barcode63	44144	300001296	6795.97	PASS
PBK85545.barcode50	140536	300000790	2134.69	PASS
PAQ87969.barcode50	125924	300000009	2382.39	PASS
PAQ88969.barcode62	46763	300002364	6415.38	PASS
PAQ89233.barcode07	18743	300013622	16006.70	PASS
PAQ89233.barcode68	64986	300001830	4616.41	PASS
PBI66098.barcode44	208486	205997673	988.06	PASS
PAW76169.barcode40	29	36338	1253.03	FAIL
PBI66098.barcode95	58760	300000166	5105.52	PASS
PAQ88969.barcode86	30000	34952432	1165.08	PASS
PBK85545.barcode71	520242	258001679	495.93	PASS
PAQ87969.barcode47	35149	300003594	8535.20	PASS
PAQ88969.barcode96	20000	12098882	604.94	PASS
PBK85545.barcode13	37246	300003354	8054.65	PASS
PAQ87969.barcode33	106209	121269121	1141.80	PASS
PBI66098.barcode80	31333	300001309	9574.61	PASS
PBK85545.barcode36	36967	300000268	8115.35	PASS
PAQ89233.barcode77	50564	13584526	268.66	FAIL
PAQ88969.barcode57	132044	300000137	2271.97	PASS
PBK85545.barcode77	526254	287221756	545.79	PASS
PAQ87969.barcode03	74792	26228119	350.68	PASS
PBI66098.barcode49	2052	314174	153.11	FAIL
PAQ89233.barcode76	100760	66977868	664.73	PASS
PBI66098.barcode41	90630	300000574	3310.17	PASS
PAQ88969.barcode47	82997	300001765	3614.61	PASS
PAW76169.barcode43	11901	1079879	90.74	FAIL
PAW76169.barcode54	63155	300000837	4750.23	PASS
PBK85545.barcode04	20849	300009673	14389.64	PASS
PBK85545.barcode68	54428	300000431	5511.88	PASS
PBK85545.barcode42	38243	300000315	7844.58	PASS
PAQ87969.barcode56	49278	300003539	6087.98	PASS
PAW76169.barcode23	53611	300003090	5595.92	PASS
PAY08219.barcode16	34375	300001430	8727.31	PASS
PAQ88969.barcode40	25424	300005538	11800.09	PASS
PAQ88969.barcode71	100000	23596708	235.97	FAIL
PAQ89233.barcode50	121847	65649555	538.79	PASS
PAQ88969.barcode69	30000	49258884	1641.96	PASS
PAQ87969.barcode91	180815	300000470	1659.16	PASS
PBI66098.barcode53	95711	46709884	488.03	PASS
PAQ87969.barcode96	59569	300003222	5036.23	PASS
PAW76169.barcode78	317053	180898678	570.56	PASS
PAQ87969.barcode20	97631	300000373	3072.80	PASS
PAQ89233.barcode60	149206	99593689	667.49	PASS
PBK85545.barcode47	27741	300005896	10814.53	PASS
PAQ89233.barcode38	129679	79115280	610.09	PASS
PAQ87969.barcode22	190664	249890425	1310.63	PASS
PAQ89233.barcode87	57989	17562432	302.86	PASS
PAY08219.barcode17	35009	300000038	8569.23	PASS
PAQ87969.barcode43	270285	190388883	704.40	PASS
PAW76169.barcode32	28177	300006095	10647.20	PASS
PAQ89233.barcode34	290137	246834452	850.75	PASS
PAQ89233.barcode43	22899	7320460	319.68	FAIL
PAQ89233.barcode54	63302	30831514	487.05	PASS
PBK85545.barcode24	41802	300002756	7176.76	PASS
PAW76169.barcode07	24682	300000880	12154.64	PASS
PAQ89233.barcode13	196180	140520853	716.29	PASS
PBK85545.barcode92	38940	300002799	7704.23	PASS
