SEQID	Genome size	circ.	Coverage	Completeness	Contamination	classification	simple_classification	Species	Phylum	Genus	5S ribosomal RNA	16S ribosomal RNA	23S ribosomal RNA	# 5S rRNA/16S rRNA / 23S rRNA	Number_of_tRNA	Contigs	Passed_assembly_QC	Assembly_QC_reason	In_bac120_MSA	N_bac120_markers	In_bac120_tree	Tree_exclusion_reason	AntiSMASH_failure	AntiSMASH_OK	GenomeQ	ID	inhibit Enterococcus mundtii DSM 4838	inhibit Enterobacter mori DSM 26271	inhibit Staphylococcus epidermidis AU 24	inhibit Escherichia coli DSM 498	inhibit Pseudomonas putida DSM 6125	inhibit Acinetobacter baylyi DSM 14961	inhibit Staphylococcus aureus DSM 20231
PAQ87969.barcode01	16335	N	17	54.95	1.61	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex_E	Bacillota - g__Peribacillus	Peribacillus simplex_E	p__Bacillota	g__Peribacillus	6	2	1	6/2/1	19	392	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode03	9105	N	9	7.48	0.05	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex_E	Bacillota - g__Peribacillus	Peribacillus simplex_E	p__Bacillota	g__Peribacillus	1	1	1	1/1/1	0	66	FALSE	completeness<90;contigs>20;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode04	2614434	N	57	100	0.87	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	12	13	12	12/13/12	25	15	TRUE	NA	TRUE	112	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode05	58153	N	15	85.3	1.32	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces decoyicus	Actinomycetota - g__Streptomyces	Streptomyces decoyicus	p__Actinomycetota	g__Streptomyces	1	1	1	1/1/1	24	940	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode06	3854401	N	31	100	0.59	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__	Actinomycetota - g__Streptomyces	Streptomyces sp.	p__Actinomycetota	g__Streptomyces	8	6	8	8/6/8	23	8	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode07	1057898	N	62	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex_E	Bacillota - g__Peribacillus	Peribacillus simplex_E	p__Bacillota	g__Peribacillus	12	9	5	12/9/5	25	47	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode08	54403	N	8	79.82	2.02	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces platensis	Actinomycetota - g__Streptomyces	Streptomyces platensis	p__Actinomycetota	g__Streptomyces	1	1	1	1/1/1	22	952	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode09	6685118	Y	45	100	0.23	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas koreensis_A	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas koreensis_A	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	27	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode10	233311	N	36	99.99	2.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex	Bacillota - g__Peribacillus	Peribacillus simplex	p__Bacillota	g__Peribacillus	6	8	2	6/8/2	26	243	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ87969.barcode11	2511318	N	30	100	0.27	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces gardneri	Actinomycetota - g__Streptomyces	Streptomyces gardneri	p__Actinomycetota	g__Streptomyces	6	7	7	6/7/7	25	7	TRUE	NA	TRUE	115	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
