sample	assembly_qc	assembly_qc_reason	in_bac120_msa	n_bac120_markers	n_bac120_missing	in_bac120_tree	tree_exclusion_reason
PAQ87969.barcode01	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode03	FAIL	completeness<90;contigs>20;size<1500000;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode04	PASS	-	TRUE	112	0	TRUE	-
PAQ87969.barcode05	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode06	PASS	-	TRUE	116	0	TRUE	-
PAQ87969.barcode07	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode08	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode09	PASS	-	TRUE	117	1	TRUE	-
PAQ87969.barcode10	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode11	PASS	-	TRUE	115	1	TRUE	-
PAQ87969.barcode12	PASS	-	TRUE	112	0	TRUE	-
PAQ87969.barcode13	PASS	-	TRUE	112	0	TRUE	-
PAQ87969.barcode14	PASS	-	TRUE	113	0	TRUE	-
PAQ87969.barcode15	PASS	-	TRUE	118	1	TRUE	-
PAQ87969.barcode16	PASS	-	TRUE	118	1	TRUE	-
PAQ87969.barcode17	PASS	-	TRUE	119	0	TRUE	-
PAQ87969.barcode19	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode20	PASS	-	TRUE	115	0	TRUE	-
PAQ87969.barcode21	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode22	PASS	-	TRUE	116	0	TRUE	-
PAQ87969.barcode23	FAIL	contamination>=5;contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode24	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode25	PASS	-	TRUE	117	0	TRUE	-
PAQ87969.barcode26	PASS	-	TRUE	118	0	TRUE	-
PAQ87969.barcode27	PASS	-	TRUE	118	1	TRUE	-
PAQ87969.barcode28	PASS	-	TRUE	118	1	TRUE	-
PAQ87969.barcode29	FAIL	completeness<90;size<1500000;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode30	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode31	PASS	-	TRUE	116	0	TRUE	-
PAQ87969.barcode32	PASS	-	TRUE	117	2	TRUE	-
PAQ87969.barcode33	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode35	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode36	PASS	-	TRUE	115	0	TRUE	-
PAQ87969.barcode37	PASS	-	TRUE	115	0	TRUE	-
PAQ87969.barcode38	PASS	-	TRUE	116	0	TRUE	-
PAQ87969.barcode39	PASS	-	TRUE	114	0	TRUE	-
PAQ87969.barcode40	PASS	-	TRUE	114	0	TRUE	-
PAQ87969.barcode41	PASS	-	TRUE	112	0	TRUE	-
PAQ87969.barcode42	PASS	-	TRUE	118	2	TRUE	-
PAQ87969.barcode43	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode44	PASS	-	TRUE	115	0	TRUE	-
PAQ87969.barcode45	PASS	-	TRUE	113	0	TRUE	-
PAQ87969.barcode46	PASS	-	TRUE	117	1	TRUE	-
PAQ87969.barcode47	PASS	-	TRUE	117	2	TRUE	-
PAQ87969.barcode48	PASS	-	TRUE	118	1	TRUE	-
PAQ87969.barcode49	PASS	-	TRUE	117	0	TRUE	-
PAQ87969.barcode50	PASS	-	TRUE	111	0	TRUE	-
PAQ87969.barcode51	PASS	-	TRUE	114	0	TRUE	-
PAQ87969.barcode53	PASS	-	TRUE	118	1	TRUE	-
PAQ87969.barcode54	PASS	-	TRUE	117	2	TRUE	-
PAQ87969.barcode55	PASS	-	TRUE	118	0	TRUE	-
PAQ87969.barcode56	PASS	-	TRUE	110	0	TRUE	-
PAQ87969.barcode57	PASS	-	TRUE	117	0	TRUE	-
PAQ87969.barcode58	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode59	PASS	-	TRUE	117	0	TRUE	-
PAQ87969.barcode60	PASS	-	TRUE	113	0	TRUE	-
PAQ87969.barcode61	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode62	PASS	-	TRUE	118	1	TRUE	-
PAQ87969.barcode63	PASS	-	TRUE	113	0	TRUE	-
PAQ87969.barcode64	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode65	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode66	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode67	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode70	PASS	-	TRUE	113	1	TRUE	-
PAQ87969.barcode72	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PAQ87969.barcode73	PASS	-	TRUE	117	0	TRUE	-
PAQ87969.barcode75	PASS	-	TRUE	118	1	TRUE	-
PAQ87969.barcode76	PASS	-	TRUE	119	0	TRUE	-
