SEQID	qualifiers_product_list	number_product
PAQ87969.barcode01	NI-siderophore	1
PAQ87969.barcode01	azole-containing-RiPP	1
PAQ87969.barcode01	terpene	1
PAQ87969.barcode03	NI-siderophore	1
PAQ87969.barcode04	NI-siderophore	1
PAQ87969.barcode04	NRPS	2
PAQ87969.barcode04	T3PKS	1
PAQ87969.barcode04	azole-containing-RiPP	1
PAQ87969.barcode04	betalactone	1
PAQ87969.barcode04	lassopeptide	1
PAQ87969.barcode04	terpene	2
PAQ87969.barcode04	terpene-precursor	1
PAQ87969.barcode05	NI-siderophore	3
PAQ87969.barcode05	NRPS	7
PAQ87969.barcode05	NRPS-like	5
PAQ87969.barcode05	PKS-like	1
PAQ87969.barcode05	RRE-containing	1
PAQ87969.barcode05	RiPP-like	4
PAQ87969.barcode05	T1PKS	1
PAQ87969.barcode05	T2PKS	1
PAQ87969.barcode05	T3PKS	1
PAQ87969.barcode05	azole-containing-RiPP	2
PAQ87969.barcode05	betalactone	1
PAQ87969.barcode05	butyrolactone	2
PAQ87969.barcode05	ectoine	1
PAQ87969.barcode05	hglE-KS	1
PAQ87969.barcode05	hydrogen-cyanide	1
PAQ87969.barcode05	isocyanide-nrp	1
PAQ87969.barcode05	lanthipeptide-class-iii	1
PAQ87969.barcode05	melanin	1
PAQ87969.barcode05	phosphonate	1
PAQ87969.barcode05	terpene	5
PAQ87969.barcode05	terpene-precursor	2
PAQ87969.barcode05	triceptide	1
PAQ87969.barcode06	CDPS	1
PAQ87969.barcode06	NAPAA	1
PAQ87969.barcode06	NI-siderophore	3
PAQ87969.barcode06	NRPS	5
PAQ87969.barcode06	NRPS-like	1
PAQ87969.barcode06	RiPP-like	5
PAQ87969.barcode06	T1PKS	7
PAQ87969.barcode06	T2PKS	1
PAQ87969.barcode06	T3PKS	2
PAQ87969.barcode06	aminopolycarboxylic-acid	1
PAQ87969.barcode06	azole-containing-RiPP	1
PAQ87969.barcode06	blactam	1
PAQ87969.barcode06	butyrolactone	2
PAQ87969.barcode06	crocagin	1
PAQ87969.barcode06	hglE-KS	1
PAQ87969.barcode06	hydrogen-cyanide	1
PAQ87969.barcode06	indole	1
PAQ87969.barcode06	lanthipeptide-class-i	1
PAQ87969.barcode06	lanthipeptide-class-iii	1
PAQ87969.barcode06	lanthipeptide-class-iv	2
PAQ87969.barcode06	melanin	3
PAQ87969.barcode06	phenazine	1
PAQ87969.barcode06	terpene	8
PAQ87969.barcode06	terpene-precursor	2
PAQ87969.barcode06	thioamitides	2
PAQ87969.barcode07	NI-siderophore	1
PAQ87969.barcode07	NRPS	2
PAQ87969.barcode07	T3PKS	1
PAQ87969.barcode07	azole-containing-RiPP	1
PAQ87969.barcode07	betalactone	1
PAQ87969.barcode07	lassopeptide	1
PAQ87969.barcode07	terpene	2
PAQ87969.barcode07	terpene-precursor	1
PAQ87969.barcode08	NI-siderophore	3
PAQ87969.barcode08	NRPS	4
PAQ87969.barcode08	NRPS-like	2
PAQ87969.barcode08	RiPP-like	1
PAQ87969.barcode08	T1PKS	8
PAQ87969.barcode08	T2PKS	2
PAQ87969.barcode08	T3PKS	1
PAQ87969.barcode08	azole-containing-RiPP	1
PAQ87969.barcode08	butyrolactone	3
PAQ87969.barcode08	ectoine	2
PAQ87969.barcode08	lanthipeptide-class-i	1
PAQ87969.barcode08	lanthipeptide-class-iii	1
PAQ87969.barcode08	lassopeptide	1
PAQ87969.barcode08	melanin	1
PAQ87969.barcode08	nucleoside	1
PAQ87969.barcode08	terpene	7
PAQ87969.barcode08	terpene-precursor	1
PAQ87969.barcode08	thioamitides	1
PAQ87969.barcode08	triceptide	1
PAQ87969.barcode09	NAGGN	1
PAQ87969.barcode09	NI-siderophore	1
PAQ87969.barcode09	NRP-metallophore	1
PAQ87969.barcode09	NRPS	3
PAQ87969.barcode09	NRPS-like	1
PAQ87969.barcode09	RiPP-like	3
PAQ87969.barcode09	arylpolyene	1
PAQ87969.barcode09	betalactone	1
PAQ87969.barcode09	ectoine	1
PAQ87969.barcode09	hydrogen-cyanide	2
PAQ87969.barcode09	redox-cofactor	1
PAQ87969.barcode09	terpene-precursor	1
PAQ87969.barcode10	NI-siderophore	1
PAQ87969.barcode10	T3PKS	1
PAQ87969.barcode10	azole-containing-RiPP	1
PAQ87969.barcode10	betalactone	1
PAQ87969.barcode10	lassopeptide	1
PAQ87969.barcode10	terpene	2
PAQ87969.barcode10	terpene-precursor	1
PAQ87969.barcode11	CDPS	1
PAQ87969.barcode11	NAPAA	1
PAQ87969.barcode11	NI-siderophore	2
PAQ87969.barcode11	NRP-metallophore	1
PAQ87969.barcode11	NRPS	5
PAQ87969.barcode11	NRPS-like	3
PAQ87969.barcode11	PKS-like	1
PAQ87969.barcode11	RiPP-like	4
PAQ87969.barcode11	T1PKS	5
PAQ87969.barcode11	T2PKS	2
PAQ87969.barcode11	T3PKS	1
PAQ87969.barcode11	azole-containing-RiPP	2
PAQ87969.barcode11	betalactone	1
PAQ87969.barcode11	butyrolactone	1
PAQ87969.barcode11	ectoine	1
PAQ87969.barcode11	hydrogen-cyanide	1
PAQ87969.barcode11	indole	1
PAQ87969.barcode11	lanthipeptide-class-ii	2
PAQ87969.barcode11	lanthipeptide-class-iv	2
PAQ87969.barcode11	lassopeptide	1
PAQ87969.barcode11	melanin	2
PAQ87969.barcode11	other	1
PAQ87969.barcode11	terpene	5
PAQ87969.barcode11	terpene-precursor	3
PAQ87969.barcode11	transAT-PKS-like	1
PAQ87969.barcode12	NI-siderophore	1
PAQ87969.barcode12	NRPS	2
PAQ87969.barcode12	T3PKS	1
PAQ87969.barcode12	azole-containing-RiPP	1
PAQ87969.barcode12	betalactone	1
PAQ87969.barcode12	lassopeptide	1
PAQ87969.barcode12	terpene	2
PAQ87969.barcode12	terpene-precursor	1
PAQ87969.barcode13	NI-siderophore	1
PAQ87969.barcode13	NRPS	2
PAQ87969.barcode13	T3PKS	1
PAQ87969.barcode13	azole-containing-RiPP	1
PAQ87969.barcode13	betalactone	1
PAQ87969.barcode13	lassopeptide	1
PAQ87969.barcode13	terpene	2
PAQ87969.barcode13	terpene-precursor	1
PAQ87969.barcode14	NI-siderophore	1
PAQ87969.barcode14	T3PKS	1
PAQ87969.barcode14	azole-containing-RiPP	1
PAQ87969.barcode14	betalactone	1
PAQ87969.barcode14	terpene	2
PAQ87969.barcode14	terpene-precursor	1
PAQ87969.barcode15	HR-T2PKS	1
PAQ87969.barcode15	NI-siderophore	1
PAQ87969.barcode15	NRP-metallophore	1
PAQ87969.barcode15	NRPS	1
PAQ87969.barcode15	arylpolyene	1
PAQ87969.barcode15	azole-containing-RiPP	1
PAQ87969.barcode15	terpene-precursor	1
PAQ87969.barcode16	HR-T2PKS	1
