sample	completeness	contamination	contigs	total_bp	status	reason
PAQ87969.barcode01	54.95	1.61	392	1537458	FAIL	completeness<90;contigs>20;
PAQ87969.barcode03	7.48	0.05	66	230424	FAIL	completeness<90;contigs>20;size<1500000;
PAQ87969.barcode04	100.00	0.87	15	5625993	PASS	-
PAQ87969.barcode05	85.30	1.32	940	7976059	FAIL	completeness<90;contigs>20;
PAQ87969.barcode06	100.00	0.59	8	8955226	PASS	-
PAQ87969.barcode07	100.00	0.00	47	5400019	FAIL	contigs>20;
PAQ87969.barcode08	79.82	2.02	952	7411343	FAIL	completeness<90;contigs>20;
PAQ87969.barcode09	100.00	0.23	1	6685118	PASS	-
PAQ87969.barcode10	99.99	2.10	243	5547933	FAIL	contigs>20;
PAQ87969.barcode11	100.00	0.27	7	9157783	PASS	-
PAQ87969.barcode12	100.00	0.72	2	5517052	PASS	-
PAQ87969.barcode13	100.00	0.75	1	5493907	PASS	-
PAQ87969.barcode14	100.00	0.61	3	5802804	PASS	-
PAQ87969.barcode15	100.00	0.18	1	5080583	PASS	-
PAQ87969.barcode16	100.00	0.19	1	5080601	PASS	-
PAQ87969.barcode17	99.85	0.33	12	2701355	PASS	-
PAQ87969.barcode19	100.00	0.85	21	10072916	FAIL	contigs>20;
PAQ87969.barcode20	100.00	0.06	10	9512599	PASS	-
PAQ87969.barcode21	83.56	3.16	1505	7564268	FAIL	completeness<90;contigs>20;
PAQ87969.barcode22	100.00	0.07	17	8982047	PASS	-
PAQ87969.barcode23	99.38	40.02	928	13979834	FAIL	contamination>=5;contigs>20;
PAQ87969.barcode24	99.99	0.01	26	8074389	FAIL	contigs>20;
PAQ87969.barcode25	100.00	0.97	7	9066973	PASS	-
PAQ87969.barcode26	100.00	0.87	3	7279552	PASS	-
PAQ87969.barcode27	99.98	0.03	1	5968820	PASS	-
PAQ87969.barcode28	100.00	0.52	1	5613998	PASS	-
PAQ87969.barcode29	6.38	0.00	3	8186	FAIL	completeness<90;size<1500000;
PAQ87969.barcode30	35.05	0.72	735	3842647	FAIL	completeness<90;contigs>20;
PAQ87969.barcode31	100.00	0.05	14	8274167	PASS	-
PAQ87969.barcode32	100.00	0.90	2	4922073	PASS	-
PAQ87969.barcode33	90.88	1.77	346	10255574	FAIL	contigs>20;
PAQ87969.barcode35	100.00	0.68	26	9511347	FAIL	contigs>20;
PAQ87969.barcode36	100.00	0.05	8	8471287	PASS	-
PAQ87969.barcode37	100.00	1.15	6	10131327	PASS	-
PAQ87969.barcode38	100.00	0.56	7	9260295	PASS	-
PAQ87969.barcode39	99.91	0.76	3	9429571	PASS	-
PAQ87969.barcode40	100.00	0.43	3	8623549	PASS	-
PAQ87969.barcode41	100.00	1.50	12	9366092	PASS	-
PAQ87969.barcode42	100.00	0.05	1	4494733	PASS	-
PAQ87969.barcode43	100.00	0.14	70	10132890	FAIL	contigs>20;
PAQ87969.barcode44	100.00	1.50	7	9790385	PASS	-
PAQ87969.barcode45	100.00	0.41	7	8971239	PASS	-
PAQ87969.barcode46	100.00	0.08	1	4667053	PASS	-
PAQ87969.barcode47	100.00	0.45	1	6425777	PASS	-
PAQ87969.barcode48	100.00	0.04	1	6220658	PASS	-
PAQ87969.barcode49	100.00	0.00	1	3755908	PASS	-
PAQ87969.barcode50	100.00	1.34	15	5685421	PASS	-
PAQ87969.barcode51	100.00	0.21	3	5175929	PASS	-
PAQ87969.barcode53	100.00	0.04	4	6454503	PASS	-
PAQ87969.barcode54	100.00	0.47	1	6425781	PASS	-
PAQ87969.barcode55	100.00	0.05	6	2311392	PASS	-
PAQ87969.barcode56	100.00	0.50	6	5366547	PASS	-
PAQ87969.barcode57	100.00	0.28	2	3840189	PASS	-
PAQ87969.barcode58	100.00	1.24	196	5304529	FAIL	contigs>20;
PAQ87969.barcode59	100.00	0.00	1	3755934	PASS	-
PAQ87969.barcode60	100.00	0.26	16	5343071	PASS	-
PAQ87969.barcode61	100.00	3.64	23	6159464	FAIL	contigs>20;
PAQ87969.barcode62	100.00	1.34	1	6094743	PASS	-
PAQ87969.barcode63	100.00	0.89	7	9084702	PASS	-
PAQ87969.barcode64	37.48	1.66	648	3620658	FAIL	completeness<90;contigs>20;
PAQ87969.barcode65	98.36	0.14	350	9085195	FAIL	contigs>20;
PAQ87969.barcode66	99.90	2.81	519	8168153	FAIL	contigs>20;
PAQ87969.barcode67	86.90	1.12	403	8540085	FAIL	completeness<90;contigs>20;
PAQ87969.barcode70	99.99	0.39	17	9266596	PASS	-
PAQ87969.barcode72	91.15	1.02	303	9662712	FAIL	contigs>20;
PAQ87969.barcode73	99.93	0.28	2	4365917	PASS	-
PAQ87969.barcode75	99.96	1.08	2	5303427	PASS	-
PAQ87969.barcode76	100.00	1.03	6	2601162	PASS	-
PAQ87969.barcode77	100.00	0.61	7	5592204	PASS	-
PAQ87969.barcode79	100.00	0.95	47	10893414	FAIL	contigs>20;
PAQ87969.barcode80	94.57	1.82	470	8419699	FAIL	contigs>20;
PAQ87969.barcode82	95.51	2.44	655	9289694	FAIL	contigs>20;
PAQ87969.barcode83	99.55	1.04	17	7871533	PASS	-
PAQ87969.barcode84	100.00	3.75	66	9262720	FAIL	contigs>20;
PAQ87969.barcode85	99.99	1.84	228	12341107	FAIL	contigs>20;
PAQ87969.barcode86	99.36	1.53	37	8555570	FAIL	contigs>20;
PAQ87969.barcode87	99.98	1.65	2	8911257	PASS	-
PAQ87969.barcode88	100.00	0.30	11	5354199	PASS	-
PAQ87969.barcode89	100.00	1.68	12	10311275	PASS	-
PAQ87969.barcode90	100.00	1.72	44	9553816	FAIL	contigs>20;
PAQ87969.barcode91	100.00	0.01	12	9151551	PASS	-
PAQ87969.barcode92	99.95	0.71	6	9286347	PASS	-
PAQ87969.barcode93	99.99	0.98	2	3348566	PASS	-
PAQ87969.barcode94	4.04	0.00	32	169929	FAIL	completeness<90;contigs>20;size<1500000;
PAQ87969.barcode95	99.96	0.80	2	3541136	PASS	-
PAQ87969.barcode96	99.98	1.73	1	5266532	PASS	-
PAQ88969.barcode01	100.00	0.18	1	5080572	PASS	-
PAQ88969.barcode02	100.00	83.54	4	9151012	FAIL	contamination>=5;
PAQ88969.barcode04	3.51	0.04	51	261857	FAIL	completeness<90;contigs>20;size<1500000;
PAQ88969.barcode05	100.00	0.29	5	4800098	PASS	-
PAQ88969.barcode06	60.34	2.65	579	3521046	FAIL	completeness<90;contigs>20;
PAQ88969.barcode07	93.41	4.21	534	3518315	FAIL	contigs>20;
PAQ88969.barcode08	99.98	1.79	1	6546969	PASS	-
PAQ88969.barcode09	100.00	0.70	7	5566034	PASS	-
PAQ88969.barcode12	88.30	0.06	4	7642015	FAIL	completeness<90;
PAQ88969.barcode13	60.17	1.92	400	6844930	FAIL	completeness<90;contigs>20;
PAQ88969.barcode15	100.00	82.69	19	11677715	FAIL	contamination>=5;
PAQ88969.barcode16	100.00	0.00	2	6338366	PASS	-
PAQ88969.barcode17	100.00	32.43	268	8030150	FAIL	contamination>=5;contigs>20;
PAQ88969.barcode20	99.95	0.51	5	8614786	PASS	-
PAQ88969.barcode21	100.00	0.25	12	4775053	PASS	-
PAQ88969.barcode23	34.75	0.09	401	3850753	FAIL	completeness<90;contigs>20;
PAQ88969.barcode24	100.00	0.27	33	6221821	FAIL	contigs>20;
PAQ88969.barcode25	100.00	0.07	18	6242846	PASS	-
PAQ88969.barcode26	99.98	0.27	2	4532070	PASS	-
PAQ88969.barcode27	99.99	0.04	43	8558998	FAIL	contigs>20;
PAQ88969.barcode28	100.00	0.46	2	4900650	PASS	-
PAQ88969.barcode29	100.00	0.19	4	4703332	PASS	-
PAQ88969.barcode30	100.00	0.44	7	5879502	PASS	-
PAQ88969.barcode31	99.99	0.55	2	2489086	PASS	-
PAQ88969.barcode32	99.99	0.06	1	4647405	PASS	-
PAQ88969.barcode33	99.99	1.74	11	6398076	PASS	-
PAQ88969.barcode34	4.13	0.10	95	563755	FAIL	completeness<90;contigs>20;size<1500000;
PAQ88969.barcode37	100.00	0.19	4	4698717	PASS	-
PAQ88969.barcode38	100.00	2.09	12	6583700	PASS	-
PAQ88969.barcode39	100.00	0.68	40	5729355	FAIL	contigs>20;
PAQ88969.barcode40	100.00	0.63	1	6373480	PASS	-
PAQ88969.barcode41	100.00	4.89	14	6019094	PASS	-
PAQ88969.barcode42	100.00	0.72	14	5284741	PASS	-
PAQ88969.barcode45	100.00	0.03	9	4744979	PASS	-
PAQ88969.barcode46	100.00	0.16	1	5988252	PASS	-
PAQ88969.barcode47	100.00	0.27	2	5488773	PASS	-
PAQ88969.barcode48	100.00	0.73	40	5640587	FAIL	contigs>20;
PAQ88969.barcode49	100.00	0.75	36	5481359	FAIL	contigs>20;
PAQ88969.barcode51	11.93	0.16	304	1002377	FAIL	completeness<90;contigs>20;size<1500000;
PAQ88969.barcode52	100.00	0.11	8	8990930	PASS	-
PAQ88969.barcode53	100.00	0.15	9	4783880	PASS	-
PAQ88969.barcode55	100.00	1.29	1	7188309	PASS	-
PAQ88969.barcode56	100.00	0.12	54	5343806	FAIL	contigs>20;
PAQ88969.barcode57	100.00	0.09	20	6221068	PASS	-
PAQ88969.barcode58	100.00	0.24	3	6752395	PASS	-
PAQ88969.barcode59	100.00	0.54	21	5730554	FAIL	contigs>20;
PAQ88969.barcode60	99.94	0.65	3	9801159	PASS	-
PAQ88969.barcode61	85.89	3.87	615	4930239	FAIL	completeness<90;contigs>20;
PAQ88969.barcode62	100.00	0.37	2	5420090	PASS	-
PAQ88969.barcode64	100.00	0.26	216	5357833	FAIL	contigs>20;
PAQ88969.barcode65	100.00	0.08	22	6190536	FAIL	contigs>20;
PAQ88969.barcode67	100.00	0.48	4	8782173	PASS	-
PAQ88969.barcode69	99.73	1.28	18	2835000	PASS	-
PAQ88969.barcode70	100.00	0.82	3	5533851	PASS	-
PAQ88969.barcode72	100.00	0.27	2	5378366	PASS	-
PAQ88969.barcode75	99.99	0.16	1	4434854	PASS	-
PAQ88969.barcode76	42.60	0.10	305	4068786	FAIL	completeness<90;contigs>20;
PAQ88969.barcode78	100.00	0.44	7	5857704	PASS	-
PAQ88969.barcode79	100.00	0.11	2	5232701	PASS	-
PAQ88969.barcode80	73.63	3.51	432	3848703	FAIL	completeness<90;contigs>20;
PAQ88969.barcode81	100.00	0.18	1	5080577	PASS	-
PAQ88969.barcode83	100.00	0.00	2	4455950	PASS	-
PAQ88969.barcode84	96.22	0.13	131	9019672	FAIL	contigs>20;
PAQ88969.barcode85	99.99	0.98	2	4001144	PASS	-
PAQ88969.barcode86	81.00	2.34	264	4596512	FAIL	completeness<90;contigs>20;
PAQ88969.barcode87	99.99	0.09	3	2521898	PASS	-
PAQ88969.barcode89	100.00	0.11	3	6585288	PASS	-
PAQ88969.barcode90	99.85	0.02	4	2617865	PASS	-
PAQ88969.barcode91	100.00	0.68	3	5428147	PASS	-
PAQ88969.barcode94	99.98	0.35	5	5793783	PASS	-
PAQ88969.barcode95	100.00	0.19	1	6094956	PASS	-
PAQ88969.barcode96	2.23	0.00	21	78652	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode02	6.73	0.00	55	196011	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode04	100.00	0.00	1	6460052	PASS	-
PAQ89233.barcode05	99.99	0.41	2	6366866	PASS	-
PAQ89233.barcode07	100.00	0.64	1	7020784	PASS	-
PAQ89233.barcode09	100.00	0.94	34	5556733	FAIL	contigs>20;
PAQ89233.barcode10	100.00	0.00	42	8778921	FAIL	contigs>20;
PAQ89233.barcode12	35.23	3.07	366	2586367	FAIL	completeness<90;contigs>20;
PAQ89233.barcode13	99.99	0.29	394	5849589	FAIL	contigs>20;
PAQ89233.barcode14	99.47	2.12	375	4365961	FAIL	contigs>20;
PAQ89233.barcode15	100.00	0.05	2	4035303	PASS	-
PAQ89233.barcode16	100.00	4.74	100	6453023	FAIL	contigs>20;
PAQ89233.barcode17	100.00	0.63	345	5774581	FAIL	contigs>20;
PAQ89233.barcode18	100.00	0.09	2	6244071	PASS	-
PAQ89233.barcode20	99.99	2.49	107	2629282	FAIL	contigs>20;
PAQ89233.barcode21	88.28	1.50	492	6296320	FAIL	completeness<90;contigs>20;
PAQ89233.barcode22	99.22	0.11	1	3690699	PASS	-
PAQ89233.barcode23	100.00	4.62	17	4235165	PASS	-
PAQ89233.barcode24	100.00	14.15	293	9838425	FAIL	contamination>=5;contigs>20;
PAQ89233.barcode26	97.40	2.02	353	5186124	FAIL	contigs>20;
PAQ89233.barcode27	100.00	1.45	18	5468231	PASS	-
PAQ89233.barcode30	100.00	30.78	220	8981411	FAIL	contamination>=5;contigs>20;
PAQ89233.barcode31	16.83	0.32	160	781715	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode32	58.34	0.99	251	2006418	FAIL	completeness<90;contigs>20;
PAQ89233.barcode33	100.00	0.23	25	4125161	FAIL	contigs>20;
PAQ89233.barcode34	100.00	0.45	29	5752336	FAIL	contigs>20;
PAQ89233.barcode36	100.00	0.46	170	6115847	FAIL	contigs>20;
PAQ89233.barcode37	13.47	0.14	103	481916	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode38	100.00	1.34	74	2684354	FAIL	contigs>20;
PAQ89233.barcode39	100.00	0.06	1	4017688	PASS	-
PAQ89233.barcode40	100.00	0.82	1	6669777	PASS	-
PAQ89233.barcode41	100.00	0.28	1	6935610	PASS	-
PAQ89233.barcode42	100.00	0.15	6	6505045	PASS	-
PAQ89233.barcode44	100.00	0.93	1	6114063	PASS	-
PAQ89233.barcode45	99.97	1.72	243	5162977	FAIL	contigs>20;
PAQ89233.barcode46	84.67	0.49	426	4337306	FAIL	completeness<90;contigs>20;
PAQ89233.barcode48	32.51	1.46	226	1432005	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode49	12.60	0.07	120	563711	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode50	79.13	4.29	611	3775265	FAIL	completeness<90;contigs>20;
PAQ89233.barcode52	31.60	0.86	200	1130273	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode53	92.31	1.61	302	4535501	FAIL	contigs>20;
PAQ89233.barcode54	69.26	0.85	301	2600646	FAIL	completeness<90;contigs>20;
PAQ89233.barcode55	100.00	0.38	1	6673619	PASS	-
PAQ89233.barcode56	100.00	0.27	1	6854052	PASS	-
PAQ89233.barcode57	100.00	0.86	1	6276349	PASS	-
PAQ89233.barcode58	91.57	4.49	337	5478517	FAIL	contigs>20;
PAQ89233.barcode59	100.00	0.00	164	6966861	FAIL	contigs>20;
PAQ89233.barcode60	99.96	5.13	311	5544886	FAIL	contamination>=5;contigs>20;
PAQ89233.barcode62	39.75	0.53	239	1541137	FAIL	completeness<90;contigs>20;
PAQ89233.barcode63	100.00	4.92	207	7521593	FAIL	contigs>20;
PAQ89233.barcode64	100.00	8.84	204	7622927	FAIL	contamination>=5;contigs>20;
PAQ89233.barcode65	99.99	0.16	161	5216823	FAIL	contigs>20;
PAQ89233.barcode66	99.76	0.03	7	3652072	PASS	-
PAQ89233.barcode67	100.00	0.18	1	6354560	PASS	-
PAQ89233.barcode68	99.90	0.38	2	8727368	PASS	-
PAQ89233.barcode69	98.38	0.31	9	8735729	PASS	-
PAQ89233.barcode70	100.00	61.59	55	12217194	FAIL	contamination>=5;contigs>20;
PAQ89233.barcode73	21.61	1.20	148	873125	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode74	100.00	0.08	15	5795616	PASS	-
PAQ89233.barcode75	100.00	0.79	20	5712489	PASS	-
PAQ89233.barcode76	99.83	0.20	317	4713877	FAIL	contigs>20;
PAQ89233.barcode78	99.95	1.00	7	5276372	PASS	-
PAQ89233.barcode79	100.00	91.80	93	15418003	FAIL	contamination>=5;contigs>20;size>15000000;
PAQ89233.barcode80	78.71	1.98	443	4229241	FAIL	completeness<90;contigs>20;
PAQ89233.barcode81	89.36	1.87	193	3208958	FAIL	completeness<90;contigs>20;
PAQ89233.barcode82	74.97	0.47	412	3878243	FAIL	completeness<90;contigs>20;
PAQ89233.barcode83	75.72	2.05	461	3793295	FAIL	completeness<90;contigs>20;
PAQ89233.barcode85	100.00	0.36	9	6034402	PASS	-
PAQ89233.barcode86	95.49	2.93	484	8972262	FAIL	contigs>20;
PAQ89233.barcode87	5.39	0.00	31	186121	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode88	80.57	0.94	346	3915413	FAIL	completeness<90;contigs>20;
PAQ89233.barcode89	61.91	3.52	665	3083576	FAIL	completeness<90;contigs>20;
PAQ89233.barcode90	100.00	0.09	16	9193246	PASS	-
PAQ89233.barcode91	100.00	50.03	218	12476064	FAIL	contamination>=5;contigs>20;
PAQ89233.barcode92	100.00	74.81	239	14919461	FAIL	contamination>=5;contigs>20;
PAQ89233.barcode93	53.78	0.44	200	1411623	FAIL	completeness<90;contigs>20;size<1500000;
PAQ89233.barcode94	100.00	0.18	2	5084360	PASS	-
PAQ89233.barcode95	99.99	0.40	229	4950145	FAIL	contigs>20;
PAW76169.barcode01	100.00	0.12	3	5288099	PASS	-
PAW76169.barcode02	100.00	0.85	2	6008786	PASS	-
PAW76169.barcode03	100.00	0.57	2	6091963	PASS	-
PAW76169.barcode04	100.00	0.11	10	8976952	PASS	-
PAW76169.barcode05	100.00	0.06	2	5403636	PASS	-
PAW76169.barcode06	100.00	0.87	1	5491449	PASS	-
PAW76169.barcode07	100.00	0.03	1	4637050	PASS	-
PAW76169.barcode08	100.00	5.81	7	6262381	FAIL	contamination>=5;
PAW76169.barcode09	100.00	0.15	1	2699925	PASS	-
PAW76169.barcode10	100.00	82.45	539	10248851	FAIL	contamination>=5;contigs>20;
PAW76169.barcode11	100.00	2.09	74	5721143	FAIL	contigs>20;
PAW76169.barcode12	100.00	0.07	6	5939898	PASS	-
PAW76169.barcode13	74.19	0.41	753	7489642	FAIL	completeness<90;contigs>20;
PAW76169.barcode14	100.00	0.31	1	5514326	PASS	-
PAW76169.barcode15	100.00	0.15	1	6509392	PASS	-
PAW76169.barcode16	100.00	0.12	11	5917185	PASS	-
PAW76169.barcode18	100.00	0.51	11	5617110	PASS	-
PAW76169.barcode20	100.00	2.05	5	5096461	PASS	-
PAW76169.barcode21	100.00	0.25	4	5494769	PASS	-
